Date : 2025-12-03 19:08:01
Directory : d:\Project\PHP\Luminode\Open_Luminode
Total : 595 files,  54503 codes, 17500 comments, 10634 blanks, all 82637 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| PHP          |        534 |     47,987 |     17,375 |      9,706 |     75,068 |
| JSON         |         22 |      3,802 |          0 |         23 |      3,825 |
| Markdown     |         27 |      1,876 |          0 |        731 |      2,607 |
| PostCSS      |          2 |        480 |          7 |         84 |        571 |
| JavaScript   |          4 |        159 |         34 |         41 |        234 |
| Shell Script |          3 |        124 |         52 |         32 |        208 |
| Log          |          1 |         40 |          0 |          1 |         41 |
| MS SQL       |          1 |         29 |         30 |         15 |         74 |
| Dotenv       |          1 |          6 |          2 |          1 |          9 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        595 |     54,503 |     17,500 |     10,634 |     82,637 |
| . (Files)                                                                                                                          |          5 |      1,564 |         32 |         32 |      1,628 |
| app                                                                                                                                |          6 |        161 |         30 |         45 |        236 |
| app\Controllers                                                                                                                    |          3 |        120 |          7 |         30 |        157 |
| app\Models                                                                                                                         |          3 |         41 |         23 |         15 |         79 |
| config                                                                                                                             |          2 |         57 |          8 |         11 |         76 |
| public                                                                                                                             |          1 |         91 |         22 |         19 |        132 |
| resources                                                                                                                          |          7 |        167 |          0 |         19 |        186 |
| resources\views                                                                                                                    |          7 |        167 |          0 |         19 |        186 |
| routes                                                                                                                             |          1 |         25 |          4 |          9 |         38 |
| src                                                                                                                                |         26 |      1,512 |        232 |        450 |      2,194 |
| src (Files)                                                                                                                        |         10 |        692 |        141 |        235 |      1,068 |
| src\Console                                                                                                                        |          4 |        180 |          2 |         58 |        240 |
| src\Console\Commands                                                                                                               |          4 |        180 |          2 |         58 |        240 |
| src\Exceptions                                                                                                                     |          3 |         17 |          1 |         10 |         28 |
| src\Middleware                                                                                                                     |          4 |         92 |         45 |         33 |        170 |
| src\ORM                                                                                                                            |          4 |        448 |         42 |        103 |        593 |
| src\ORM (Files)                                                                                                                    |          2 |        378 |         16 |         85 |        479 |
| src\ORM\Relations                                                                                                                  |          2 |         70 |         26 |         18 |        114 |
| src\Validation                                                                                                                     |          1 |         83 |          1 |         11 |         95 |
| storage                                                                                                                            |          1 |         40 |          0 |          1 |         41 |
| storage\logs                                                                                                                       |          1 |         40 |          0 |          1 |         41 |
| vendor                                                                                                                             |        546 |     50,886 |     17,172 |     10,048 |     78,106 |
| vendor (Files)                                                                                                                     |          1 |         17 |          1 |          5 |         23 |
| vendor\composer                                                                                                                    |         11 |      2,470 |        392 |        157 |      3,019 |
| vendor\filp                                                                                                                        |         43 |      2,973 |      1,633 |        783 |      5,389 |
| vendor\filp\whoops                                                                                                                 |         43 |      2,973 |      1,633 |        783 |      5,389 |
| vendor\filp\whoops (Files)                                                                                                         |          4 |        157 |          0 |         92 |        249 |
| vendor\filp\whoops\src                                                                                                             |         39 |      2,816 |      1,633 |        691 |      5,140 |
| vendor\filp\whoops\src\Whoops                                                                                                      |         39 |      2,816 |      1,633 |        691 |      5,140 |
| vendor\filp\whoops\src\Whoops (Files)                                                                                              |          2 |        316 |        351 |        100 |        767 |
| vendor\filp\whoops\src\Whoops\Exception                                                                                            |          5 |        511 |        325 |        134 |        970 |
| vendor\filp\whoops\src\Whoops\Handler                                                                                              |          7 |        767 |        609 |        205 |      1,581 |
| vendor\filp\whoops\src\Whoops\Inspector                                                                                            |          3 |         31 |         61 |         19 |        111 |
| vendor\filp\whoops\src\Whoops\Resources                                                                                            |         18 |        893 |         50 |        158 |      1,101 |
| vendor\filp\whoops\src\Whoops\Resources\css                                                                                        |          2 |        480 |          7 |         84 |        571 |
| vendor\filp\whoops\src\Whoops\Resources\js                                                                                         |          4 |        159 |         34 |         41 |        234 |
| vendor\filp\whoops\src\Whoops\Resources\views                                                                                      |         12 |        254 |          9 |         33 |        296 |
| vendor\filp\whoops\src\Whoops\Util                                                                                                 |          4 |        298 |        237 |         75 |        610 |
| vendor\graham-campbell                                                                                                             |          4 |        118 |        193 |         36 |        347 |
| vendor\graham-campbell\result-type                                                                                                 |          4 |        118 |        193 |         36 |        347 |
| vendor\graham-campbell\result-type (Files)                                                                                         |          1 |         33 |          0 |          1 |         34 |
| vendor\graham-campbell\result-type\src                                                                                             |          3 |         85 |        193 |         35 |        313 |
| vendor\laravel                                                                                                                     |         17 |      1,769 |        487 |        340 |      2,596 |
| vendor\laravel\serializable-closure                                                                                                |         17 |      1,769 |        487 |        340 |      2,596 |
| vendor\laravel\serializable-closure (Files)                                                                                        |          3 |        117 |          0 |         33 |        150 |
| vendor\laravel\serializable-closure\src                                                                                            |         14 |      1,652 |        487 |        307 |      2,446 |
| vendor\laravel\serializable-closure\src (Files)                                                                                    |          2 |         84 |         90 |         23 |        197 |
| vendor\laravel\serializable-closure\src\Contracts                                                                                  |          2 |         14 |         22 |          8 |         44 |
| vendor\laravel\serializable-closure\src\Exceptions                                                                                 |          3 |         30 |         18 |         12 |         60 |
| vendor\laravel\serializable-closure\src\Serializers                                                                                |          2 |        358 |        135 |        124 |        617 |
| vendor\laravel\serializable-closure\src\Signers                                                                                    |          1 |         24 |         23 |          7 |         54 |
| vendor\laravel\serializable-closure\src\Support                                                                                    |          4 |      1,142 |        199 |        133 |      1,474 |
| vendor\monolog                                                                                                                     |        124 |      8,620 |      4,969 |      2,434 |     16,023 |
| vendor\monolog\monolog                                                                                                             |        124 |      8,620 |      4,969 |      2,434 |     16,023 |
| vendor\monolog\monolog (Files)                                                                                                     |          3 |        804 |          0 |        210 |      1,014 |
| vendor\monolog\monolog\src                                                                                                         |        121 |      7,816 |      4,969 |      2,224 |     15,009 |
| vendor\monolog\monolog\src\Monolog                                                                                                 |        121 |      7,816 |      4,969 |      2,224 |     15,009 |
| vendor\monolog\monolog\src\Monolog (Files)                                                                                         |         10 |      1,007 |        706 |        269 |      1,982 |
| vendor\monolog\monolog\src\Monolog\Attribute                                                                                       |          2 |         23 |         38 |          8 |         69 |
| vendor\monolog\monolog\src\Monolog\Formatter                                                                                       |         19 |      1,282 |        698 |        380 |      2,360 |
| vendor\monolog\monolog\src\Monolog\Handler                                                                                         |         73 |      4,993 |      3,137 |      1,391 |      9,521 |
| vendor\monolog\monolog\src\Monolog\Handler (Files)                                                                                 |         67 |      4,641 |      2,927 |      1,283 |      8,851 |
| vendor\monolog\monolog\src\Monolog\Handler\Curl                                                                                    |          1 |         38 |         20 |         11 |         69 |
| vendor\monolog\monolog\src\Monolog\Handler\FingersCrossed                                                                          |          3 |         48 |         72 |         21 |        141 |
| vendor\monolog\monolog\src\Monolog\Handler\Slack                                                                                   |          1 |        213 |        109 |         60 |        382 |
| vendor\monolog\monolog\src\Monolog\Handler\SyslogUdp                                                                               |          1 |         53 |          9 |         16 |         78 |
| vendor\monolog\monolog\src\Monolog\Processor                                                                                       |         15 |        464 |        353 |        164 |        981 |
| vendor\monolog\monolog\src\Monolog\Test                                                                                            |          2 |         47 |         37 |         12 |         96 |
| vendor\php-di                                                                                                                      |         83 |      4,201 |      1,585 |      1,302 |      7,088 |
| vendor\php-di\invoker                                                                                                              |         17 |        651 |        170 |        203 |      1,024 |
| vendor\php-di\invoker (Files)                                                                                                      |          2 |        194 |          0 |         74 |        268 |
| vendor\php-di\invoker\src                                                                                                          |         15 |        457 |        170 |        129 |        756 |
| vendor\php-di\invoker\src (Files)                                                                                                  |          3 |        156 |         63 |         42 |        261 |
| vendor\php-di\invoker\src\Exception                                                                                                |          3 |         32 |         12 |         12 |         56 |
| vendor\php-di\invoker\src\ParameterResolver                                                                                        |          8 |        235 |         82 |         65 |        382 |
| vendor\php-di\invoker\src\ParameterResolver (Files)                                                                                |          6 |        161 |         63 |         44 |        268 |
| vendor\php-di\invoker\src\ParameterResolver\Container                                                                              |          2 |         74 |         19 |         21 |        114 |
| vendor\php-di\invoker\src\Reflection                                                                                               |          1 |         34 |         13 |         10 |         57 |
| vendor\php-di\php-di                                                                                                               |         66 |      3,550 |      1,415 |      1,099 |      6,064 |
| vendor\php-di\php-di (Files)                                                                                                       |          4 |        386 |          0 |        166 |        552 |
| vendor\php-di\php-di\src                                                                                                           |         62 |      3,164 |      1,415 |        933 |      5,512 |
| vendor\php-di\php-di\src (Files)                                                                                                   |          7 |        537 |        377 |        161 |      1,075 |
| vendor\php-di\php-di\src\Attribute                                                                                                 |          2 |         52 |         41 |         17 |        110 |
| vendor\php-di\php-di\src\Compiler                                                                                                  |          4 |        454 |         94 |         95 |        643 |
| vendor\php-di\php-di\src\Definition                                                                                                |         43 |      1,948 |        806 |        607 |      3,361 |
| vendor\php-di\php-di\src\Definition (Files)                                                                                        |         14 |        546 |        192 |        180 |        918 |
| vendor\php-di\php-di\src\Definition\Dumper                                                                                         |          1 |         86 |         25 |         34 |        145 |
| vendor\php-di\php-di\src\Definition\Exception                                                                                      |          2 |         22 |         10 |          9 |         41 |
| vendor\php-di\php-di\src\Definition\Helper                                                                                         |          4 |        151 |        136 |         61 |        348 |
| vendor\php-di\php-di\src\Definition\ObjectDefinition                                                                               |          2 |         78 |         36 |         25 |        139 |
| vendor\php-di\php-di\src\Definition\Resolver                                                                                       |          9 |        516 |        222 |        128 |        866 |
| vendor\php-di\php-di\src\Definition\Source                                                                                         |         11 |        549 |        185 |        170 |        904 |
| vendor\php-di\php-di\src\Factory                                                                                                   |          1 |          7 |         13 |          4 |         24 |
| vendor\php-di\php-di\src\Invoker                                                                                                   |          2 |         89 |         24 |         22 |        135 |
| vendor\php-di\php-di\src\Proxy                                                                                                     |          3 |         77 |         60 |         27 |        164 |
| vendor\phpoption                                                                                                                   |          5 |        435 |        412 |        122 |        969 |
| vendor\phpoption\phpoption                                                                                                         |          5 |        435 |        412 |        122 |        969 |
| vendor\phpoption\phpoption (Files)                                                                                                 |          1 |         50 |          0 |          1 |         51 |
| vendor\phpoption\phpoption\src                                                                                                     |          4 |        385 |        412 |        121 |        918 |
| vendor\phpoption\phpoption\src\PhpOption                                                                                           |          4 |        385 |        412 |        121 |        918 |
| vendor\psr                                                                                                                         |         15 |        223 |        195 |         77 |        495 |
| vendor\psr\container                                                                                                               |          5 |         54 |         30 |         19 |        103 |
| vendor\psr\container (Files)                                                                                                       |          2 |         35 |          0 |          7 |         42 |
| vendor\psr\container\src                                                                                                           |          3 |         19 |         30 |         12 |         61 |
| vendor\psr\log                                                                                                                     |         10 |        169 |        165 |         58 |        392 |
| vendor\psr\log (Files)                                                                                                             |          2 |         69 |          0 |         17 |         86 |
| vendor\psr\log\src                                                                                                                 |          8 |        100 |        165 |         41 |        306 |
| vendor\symfony                                                                                                                     |        201 |     28,545 |      5,852 |      4,337 |     38,734 |
| vendor\symfony\console                                                                                                             |        124 |     10,322 |      4,562 |      2,855 |     17,739 |
| vendor\symfony\console (Files)                                                                                                     |          9 |      1,568 |        443 |        397 |      2,408 |
| vendor\symfony\console\Attribute                                                                                                   |          1 |         22 |         11 |          7 |         40 |
| vendor\symfony\console\CI                                                                                                          |          1 |         48 |         36 |         16 |        100 |
| vendor\symfony\console\Command                                                                                                     |          9 |      1,147 |        453 |        340 |      1,940 |
| vendor\symfony\console\CommandLoader                                                                                               |          3 |         68 |         54 |         28 |        150 |
| vendor\symfony\console\Completion                                                                                                  |          7 |        276 |        162 |         82 |        520 |
| vendor\symfony\console\Completion (Files)                                                                                          |          3 |        211 |        116 |         62 |        389 |
| vendor\symfony\console\Completion\Output                                                                                           |          4 |         65 |         46 |         20 |        131 |
| vendor\symfony\console\DataCollector                                                                                               |          1 |        164 |         36 |         35 |        235 |
| vendor\symfony\console\Debug                                                                                                       |          1 |         47 |         12 |         12 |         71 |
| vendor\symfony\console\DependencyInjection                                                                                         |          1 |         94 |         16 |         25 |        135 |
| vendor\symfony\console\Descriptor                                                                                                  |          8 |      1,006 |        176 |        226 |      1,408 |
| vendor\symfony\console\Event                                                                                                       |          5 |        146 |         88 |         49 |        283 |
| vendor\symfony\console\EventListener                                                                                               |          1 |         62 |         18 |         22 |        102 |
| vendor\symfony\console\Exception                                                                                                   |          9 |         64 |        118 |         40 |        222 |
| vendor\symfony\console\Formatter                                                                                                   |          8 |        395 |        242 |        126 |        763 |
| vendor\symfony\console\Helper                                                                                                      |         20 |      2,413 |        952 |        641 |      4,006 |
| vendor\symfony\console\Input                                                                                                       |         10 |      1,008 |        625 |        265 |      1,898 |
| vendor\symfony\console\Logger                                                                                                      |          1 |         79 |         26 |         15 |        120 |
| vendor\symfony\console\Messenger                                                                                                   |          3 |         59 |         37 |         20 |        116 |
| vendor\symfony\console\Output                                                                                                      |         10 |        549 |        424 |        184 |      1,157 |
| vendor\symfony\console\Question                                                                                                    |          3 |        269 |        178 |         81 |        528 |
| vendor\symfony\console\Resources                                                                                                   |          3 |        124 |         52 |         32 |        208 |
| vendor\symfony\console\SignalRegistry                                                                                              |          2 |         54 |         22 |         19 |         95 |
| vendor\symfony\console\Style                                                                                                       |          3 |        428 |        241 |        118 |        787 |
| vendor\symfony\console\Tester                                                                                                      |          5 |        232 |        140 |         75 |        447 |
| vendor\symfony\console\Tester (Files)                                                                                              |          4 |        205 |        132 |         66 |        403 |
| vendor\symfony\console\Tester\Constraint                                                                                           |          1 |         27 |          8 |          9 |         44 |
| vendor\symfony\deprecation-contracts                                                                                               |          4 |         65 |         18 |         14 |         97 |
| vendor\symfony\polyfill-ctype                                                                                                      |          5 |        195 |        143 |         45 |        383 |
| vendor\symfony\polyfill-intl-grapheme                                                                                              |          5 |        348 |         51 |         67 |        466 |
| vendor\symfony\polyfill-intl-normalizer                                                                                            |         10 |      7,878 |         45 |         87 |      8,010 |
| vendor\symfony\polyfill-intl-normalizer (Files)                                                                                    |          5 |        288 |         42 |         77 |        407 |
| vendor\symfony\polyfill-intl-normalizer\Resources                                                                                  |          5 |      7,590 |          3 |         10 |      7,603 |
| vendor\symfony\polyfill-intl-normalizer\Resources\stubs                                                                            |          1 |         13 |          3 |          2 |         18 |
| vendor\symfony\polyfill-intl-normalizer\Resources\unidata                                                                          |          4 |      7,577 |          0 |          8 |      7,585 |
| vendor\symfony\polyfill-mbstring                                                                                                   |          9 |      4,131 |         87 |        237 |      4,455 |
| vendor\symfony\polyfill-mbstring (Files)                                                                                           |          5 |      1,127 |         86 |        228 |      1,441 |
| vendor\symfony\polyfill-mbstring\Resources                                                                                         |          4 |      3,004 |          1 |          9 |      3,014 |
| vendor\symfony\polyfill-mbstring\Resources\unidata                                                                                 |          4 |      3,004 |          1 |          9 |      3,014 |
| vendor\symfony\polyfill-php80                                                                                                      |         10 |        268 |        101 |         65 |        434 |
| vendor\symfony\polyfill-php80 (Files)                                                                                              |          5 |        225 |         57 |         48 |        330 |
| vendor\symfony\polyfill-php80\Resources                                                                                            |          5 |         43 |         44 |         17 |        104 |
| vendor\symfony\polyfill-php80\Resources\stubs                                                                                      |          5 |         43 |         44 |         17 |        104 |
| vendor\symfony\service-contracts                                                                                                   |         14 |        350 |        244 |        112 |        706 |
| vendor\symfony\service-contracts (Files)                                                                                           |         10 |        250 |        181 |         79 |        510 |
| vendor\symfony\service-contracts\Attribute                                                                                         |          2 |         23 |         41 |         10 |         74 |
| vendor\symfony\service-contracts\Test                                                                                              |          2 |         77 |         22 |         23 |        122 |
| vendor\symfony\string                                                                                                              |         20 |      4,988 |        601 |        855 |      6,444 |
| vendor\symfony\string (Files)                                                                                                      |          9 |      1,873 |        220 |        585 |      2,678 |
| vendor\symfony\string\Exception                                                                                                    |          3 |         15 |         24 |         12 |         51 |
| vendor\symfony\string\Inflector                                                                                                    |          3 |        305 |        287 |        209 |        801 |
| vendor\symfony\string\Resources                                                                                                    |          3 |      2,639 |         23 |         13 |      2,675 |
| vendor\symfony\string\Resources (Files)                                                                                            |          1 |         21 |         11 |          7 |         39 |
| vendor\symfony\string\Resources\data                                                                                               |          2 |      2,618 |         12 |          6 |      2,636 |
| vendor\symfony\string\Slugger                                                                                                      |          2 |        156 |         47 |         36 |        239 |
| vendor\vlucas                                                                                                                      |         42 |      1,515 |      1,453 |        455 |      3,423 |
| vendor\vlucas\phpdotenv                                                                                                            |         42 |      1,515 |      1,453 |        455 |      3,423 |
| vendor\vlucas\phpdotenv (Files)                                                                                                    |          1 |         60 |          0 |          1 |         61 |
| vendor\vlucas\phpdotenv\src                                                                                                        |         41 |      1,455 |      1,453 |        454 |      3,362 |
| vendor\vlucas\phpdotenv\src (Files)                                                                                                |          2 |        206 |        218 |         52 |        476 |
| vendor\vlucas\phpdotenv\src\Exception                                                                                              |          5 |         35 |          5 |         25 |         65 |
| vendor\vlucas\phpdotenv\src\Loader                                                                                                 |          3 |         68 |         48 |         20 |        136 |
| vendor\vlucas\phpdotenv\src\Parser                                                                                                 |          7 |        347 |        277 |         87 |        711 |
| vendor\vlucas\phpdotenv\src\Repository                                                                                             |         16 |        555 |        610 |        189 |      1,354 |
| vendor\vlucas\phpdotenv\src\Repository (Files)                                                                                     |          3 |        181 |        197 |         55 |        433 |
| vendor\vlucas\phpdotenv\src\Repository\Adapter                                                                                     |         13 |        374 |        413 |        134 |        921 |
| vendor\vlucas\phpdotenv\src\Store                                                                                                  |          6 |        157 |        185 |         56 |        398 |
| vendor\vlucas\phpdotenv\src\Store (Files)                                                                                          |          4 |        103 |        129 |         39 |        271 |
| vendor\vlucas\phpdotenv\src\Store\File                                                                                             |          2 |         54 |         56 |         17 |        127 |
| vendor\vlucas\phpdotenv\src\Util                                                                                                   |          2 |         87 |        110 |         25 |        222 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                           | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| d:\Project\PHP\Luminode\Open_Luminode\.env                                                                                         | Dotenv       |          6 |          2 |          1 |          9 |
| d:\Project\PHP\Luminode\Open_Luminode\README.md                                                                                    | Markdown     |         46 |          0 |         13 |         59 |
| d:\Project\PHP\Luminode\Open_Luminode\app\Controllers\AuthController.php                                                           | PHP          |         67 |          5 |         17 |         89 |
| d:\Project\PHP\Luminode\Open_Luminode\app\Controllers\HomeController.php                                                           | PHP          |         29 |          2 |          7 |         38 |
| d:\Project\PHP\Luminode\Open_Luminode\app\Controllers\TestController.php                                                           | PHP          |         24 |          0 |          6 |         30 |
| d:\Project\PHP\Luminode\Open_Luminode\app\Models\Comment.php                                                                       | PHP          |         15 |          3 |          5 |         23 |
| d:\Project\PHP\Luminode\Open_Luminode\app\Models\Post.php                                                                          | PHP          |         14 |         10 |          5 |         29 |
| d:\Project\PHP\Luminode\Open_Luminode\app\Models\User.php                                                                          | PHP          |         12 |         10 |          5 |         27 |
| d:\Project\PHP\Luminode\Open_Luminode\composer.json                                                                                | JSON         |         21 |          0 |          2 |         23 |
| d:\Project\PHP\Luminode\Open_Luminode\composer.lock                                                                                | JSON         |      1,462 |          0 |          1 |      1,463 |
| d:\Project\PHP\Luminode\Open_Luminode\config\bootstrap.php                                                                         | PHP          |         42 |          5 |          7 |         54 |
| d:\Project\PHP\Luminode\Open_Luminode\config\database.php                                                                          | PHP          |         15 |          3 |          4 |         22 |
| d:\Project\PHP\Luminode\Open_Luminode\install.sql                                                                                  | MS SQL       |         29 |         30 |         15 |         74 |
| d:\Project\PHP\Luminode\Open_Luminode\public\index.php                                                                             | PHP          |         91 |         22 |         19 |        132 |
| d:\Project\PHP\Luminode\Open_Luminode\resources\views\form.php                                                                     | PHP          |         39 |          0 |          8 |         47 |
| d:\Project\PHP\Luminode\Open_Luminode\resources\views\home.php                                                                     | PHP          |         22 |          0 |          4 |         26 |
| d:\Project\PHP\Luminode\Open_Luminode\resources\views\layout.php                                                                   | PHP          |         23 |          0 |          1 |         24 |
| d:\Project\PHP\Luminode\Open_Luminode\resources\views\login.php                                                                    | PHP          |         23 |          0 |          1 |         24 |
| d:\Project\PHP\Luminode\Open_Luminode\resources\views\profile.php                                                                  | PHP          |         17 |          0 |          1 |         18 |
| d:\Project\PHP\Luminode\Open_Luminode\resources\views\register.php                                                                 | PHP          |         31 |          0 |          1 |         32 |
| d:\Project\PHP\Luminode\Open_Luminode\resources\views\test.php                                                                     | PHP          |         12 |          0 |          3 |         15 |
| d:\Project\PHP\Luminode\Open_Luminode\routes\web.php                                                                               | PHP          |         25 |          4 |          9 |         38 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Auth.php                                                                                 | PHP          |         58 |         36 |         15 |        109 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Cache.php                                                                                | PHP          |         46 |          8 |         12 |         66 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Console\Commands\MakeControllerCommand.php                                               | PHP          |         48 |          0 |         16 |         64 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Console\Commands\MakeModelCommand.php                                                    | PHP          |         56 |          1 |         15 |         72 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Console\Commands\MakeViewCommand.php                                                     | PHP          |         41 |          1 |         15 |         57 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Console\Commands\RouteListCommand.php                                                    | PHP          |         35 |          0 |         12 |         47 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Controller.php                                                                           | PHP          |         58 |          0 |         80 |        138 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Database.php                                                                             | PHP          |         65 |          5 |         16 |         86 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Exceptions\CsrfTokenMismatchException.php                                                | PHP          |          6 |          0 |          3 |          9 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Exceptions\RouteNotFoundException.php                                                    | PHP          |          5 |          0 |          3 |          8 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Exceptions\ViewNotFoundException.php                                                     | PHP          |          6 |          1 |          4 |         11 |
| d:\Project\PHP\Luminode\Open_Luminode\src\FileUploader.php                                                                         | PHP          |         85 |         11 |         25 |        121 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Middleware\Authenticate.php                                                              | PHP          |         21 |          9 |          7 |         37 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Middleware\CsrfMiddleware.php                                                            | PHP          |         39 |         24 |         12 |         75 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Middleware\LogRequestMiddleware.php                                                      | PHP          |         23 |          1 |         10 |         34 |
| d:\Project\PHP\Luminode\Open_Luminode\src\Middleware\MiddlewareInterface.php                                                       | PHP          |          9 |         11 |          4 |         24 |
| d:\Project\PHP\Luminode\Open_Luminode\src\ORM\BaseModel.php                                                                        | PHP          |        218 |         16 |         45 |        279 |
